month_end,permno,ticker,prc,ret,shrout,vol,peg_trailing,opmbd,npm,fcf_ocf,mktcap,dollar_volume,12-1_ret
2010-12-31,10104,ORCL,31.3,0.15733,5052420.0,5993327.0,1.7388547595682038,0.4323493234932349,0.2174046740467405,0.9665525114155251,158140746.0,187591135.1,0.11128264284867462
2010-12-31,10107,MSFT,27.91,0.105018,8403000.0,10367260.0,0.6338840628649632,0.4487902796575374,0.3132042762207454,0.9194954128440367,234527730.0,289350226.6,-0.1534266121208141
2010-12-31,10137,AYE,24.24,0.068799,169939.0,374265.0,0.7357106844751136,0.3321280196953377,0.1109914345796789,-0.06177325581395349,4119321.36,9072183.6,-0.008647238641347421
2010-12-31,10138,TROW,64.54,0.111092,258760.0,371139.0,1.357461513510659,0.461738746690203,0.2793909973521624,0.8304932735426009,16700370.400000002,23953311.060000002,0.11344827626082976
2010-12-31,10145,HON,53.16,0.069403,780173.0,850779.0,10.15136803236389,0.1601363937738768,0.07255391027057746,0.8645578079750501,41473996.68,45227411.64,0.3045539333686269
2010-12-31,10147,EMC,22.9,0.065612,2060396.0,3022433.0,2.6981313315084385,0.2247559659044339,0.1024262221856842,0.8329265612643726,47183068.4,69213715.7,0.23010873596049075
2010-12-31,10225,FO,60.25,0.019631,152581.0,217253.0,0.4247788046080405,0.1616291729922866,0.06344021714127984,0.7607610309000135,9193005.25,13089493.25,0.3895560813378969
2010-12-31,10299,LLTC,34.59,0.061043,226278.0,385283.0,0.923017183206868,0.5437269602894638,0.3311321075734718,0.8691863196883649,7826956.0200000005,13326938.97,0.1010631890791267
2010-12-31,10324,GENZ,71.2,-0.000281,263669.0,526499.0,-19.00920520394696,0.05860638906742773,-0.004544026366669314,0.1363081477412316,18773232.8,37486728.800000004,0.4531727746072316
2010-12-31,10516,ADM,30.08,0.037599,638893.0,1111425.0,2.277141753849438,0.05067652611705475,0.02798930144745123,0.4137176213060927,19217901.439999998,33431663.999999996,-0.05441795735272492
2010-12-31,10696,FISV,58.56,0.058951,146900.0,207798.0,0.3438839452471273,0.3237794510565946,0.1250910857420452,0.8185567010309278,8602464.0,12168650.88,0.14067633112270306
2010-12-31,11308,KO,65.77,0.041159,2322034.0,2035970.0,0.8604635552634047,0.3332814688034853,0.2359110004667808,0.7889496717724289,152720176.17999998,133905746.89999999,0.14329722246545873
2010-12-31,11404,ED,49.57,0.024809,290536.0,318003.0,1.9364558908369467,0.2138346088119474,0.07221933278846868,-0.06069802731411229,14401869.52,15763408.71,0.1219510613545507
2010-12-31,11600,XRAY,34.17,0.106727,141800.0,155833.0,4.543252378287625,0.2042531217937376,0.1227760722731773,0.8831605262079423,4845306.0,5324813.61,-0.11673074543018602
2010-12-31,11618,FAST,59.91,0.119395,147431.0,178891.0,0.6401441268189594,0.19993601708666,0.1126518155727046,0.7488217393089667,8832591.209999999,10717359.809999999,0.31919381448091255
2010-12-31,11674,DTE,45.32,0.029854,169117.0,240778.0,0.3528277515708794,0.291358024691358,0.07031158142269253,0.3748488512696493,7664382.44,10912058.96,0.0589414321452113
2010-12-31,11703,DD,49.88,0.061502,912894.0,1231645.0,0.1615152419732153,0.1693496869809633,0.09888846301264853,0.6841422268362315,45535152.72,61434452.6,0.45554207018548687
2010-12-31,11850,XOM,73.12,0.051179,5042557.0,4092743.0,3.1798851539922914,0.1524054396568532,0.0830449405342172,0.4080525283844786,368711767.84000003,299261368.16,0.048443957886525224
2010-12-31,11955,WM,36.87,0.076496,475801.0,535416.0,23.576006881352008,0.2646343440895087,0.08002270147559591,0.539401601348504,17542782.869999997,19740787.919999998,0.05085992702950359
2010-12-31,11976,BMC,47.14,0.061712,178900.0,375570.0,0.7153918837705022,0.3596759400794864,0.2313767451340059,0.9685848502642396,8433346.0,17704369.8,0.10723421219062068
2010-12-31,12052,GD,70.96,0.073687,377744.0,392180.0,0.991646019513237,0.1381481598085823,0.07924314453924378,0.8845650752125572,26804714.24,27829092.799999997,-0.0065175959908263525
2010-12-31,12062,LH,87.92,0.071803,101700.0,181425.0,1.2805802860494193,0.243454530531845,0.1167719960604071,0.8458367683429514,8941464.0,15950886.0,0.09607322071949764
2010-12-31,12140,GR,88.07,0.026816,125375.0,159009.0,2.8861979816092656,0.1798912244597972,0.07856827870057327,0.7907926995369109,11041776.25,14003922.629999999,0.3555225086066489
2010-12-31,12490,IBM,146.75999,0.037466,1242361.0,934126.0,0.7374259842123706,0.2348952916947044,0.1467037784710752,0.8034579731277992,182328887.93638998,137092322.41873997,0.10177812806931774
2010-12-31,12570,ITT,52.11,0.132826,183600.0,290031.0,9.111955494887937,0.109480917448231,0.05339400130002786,0.6487108655616942,9567396.0,15113515.41,-0.0554689128309136
2010-12-31,13688,PCG,47.84,0.029086,392066.0,412557.0,2.8491143221431874,0.3234973471909296,0.08256413983574387,-0.4615987460815047,18756437.44,19736726.880000003,0.08485991355828504
2010-12-31,13856,PEP,65.33,0.018258,1584841.0,1191929.0,6.270745258307985,0.2172895432238581,0.1205926764816912,0.6748563745263415,103537662.53,77868721.57,0.08644686070226704
2010-12-31,14008,AMGN,54.9,0.041944,932000.0,1626615.0,0.6158690467770397,0.4393182877305106,0.3019772318753745,0.903248839700107,51166800.0,89301163.5,-0.06858686520527213
2010-12-31,14541,CVX,91.25,0.126961,2012428.0,1579749.0,1.0769226665921305,0.1970786383520413,0.09061291418769857,0.3538609654073435,183634055.0,144152096.25,0.09197589863899847
2010-12-31,14593,AAPL,322.56,0.03667,921035.0,2580173.0,0.3699795935188179,0.2961594480643925,0.2148409352242238,0.8921753159451465,297089049.6,832260602.88,0.4765204979487694
2010-12-31,14656,SUN,40.31,0.004235,120579.0,388208.0,-4.207700740677544,0.02576845205227314,0.005245720596355604,0.5067934782608695,4860539.49,15648664.48,0.5672017821372812
2010-12-31,15579,TXN,32.5,0.022013,1174157.0,2046292.0,0.2280867484621774,0.3793693291685259,0.2187267588874015,0.6285157337788917,38160102.5,66504490.0,0.24386500409912104
